죄종별,항목,2018 년,2019 년,2020 년,2021 년,2022 년
아동학대처벌법(아동학대살해),발생건수 대비 검거건수[%],,,,100,100
아동학대처벌법(아동학대살해),검거인원[명],,,,5,8
아동학대처벌법(아동학대살해),남자검거인원[명],,,,2,2
아동학대처벌법(아동학대살해),여자검거인원[명],,,,3,6
아동학대처벌법(아동학대살해),불상검거인원[명],,,,-,-
아동학대처벌법(아동학대살해),법인체[개],,,,-,-
살인미수등,발생건수[건],488,482,416,388,427
살인미수등,검거건수[건],484,481,406,380,416
살인미수등,발생건수 대비 검거건수[%],99.2,99.8,97.6,97.9,97.4
살인미수등,검거인원[명],525,534,472,421,430
살인미수등,남자검거인원[명],438,459,378,348,374
살인미수등,여자검거인원[명],81,70,79,63,55
살인미수등,불상검거인원[명],6,5,15,10,1
살인미수등,법인체[개],-,-,-,-,-
살인,발생건수[건],443,439,365,343,404
살인,검거건수[건],440,437,356,336,394
살인,발생건수 대비 검거건수[%],99.3,99.5,97.5,98,97.5
살인,검거인원[명],461,482,400,364,405
살인,남자검거인원[명],395,423,328,308,354
살인,여자검거인원[명],61,54,57,46,50
살인,불상검거인원[명],5,5,15,10,1
살인,법인체[개],-,-,-,-,-
영아살해,발생건수[건],-,1,1,3,1
영아살해,검거건수[건],-,1,1,3,1
영아살해,발생건수 대비 검거건수[%],-,100,100,100,100
영아살해,검거인원[명],-,1,1,4,1
영아살해,남자검거인원[명],-,-,-,2,-
영아살해,여자검거인원[명],-,1,1,2,1
영아살해,불상검거인원[명],-,-,-,-,-
영아살해,법인체[개],-,-,-,-,-
존속살해,발생건수[건],26,30,31,25,16
존속살해,검거건수[건],26,30,30,25,15
존속살해,발생건수 대비 검거건수[%],100,100,96.8,100,93.8
존속살해,검거인원[명],28,31,35,25,14
존속살해,남자검거인원[명],23,24,23,20,12
존속살해,여자검거인원[명],5,7,12,5,2
존속살해,불상검거인원[명],-,-,-,-,-
존속살해,법인체[개],-,-,-,-,-
촉탁·승낙살인,발생건수[건],2,-,1,1,1
촉탁·승낙살인,검거건수[건],2,-,1,1,1
촉탁·승낙살인,발생건수 대비 검거건수[%],100,-,100,100,100
촉탁·승낙살인,검거인원[명],5,-,1,1,1
촉탁·승낙살인,남자검거인원[명],3,-,1,-,1
촉탁·승낙살인,여자검거인원[명],2,-,-,1,-
촉탁·승낙살인,불상검거인원[명],-,-,-,-,-
촉탁·승낙살인,법인체[개],-,-,-,-,-
자살교사·방조,발생건수[건],16,10,18,16,5
자살교사·방조,검거건수[건],15,11,18,15,5
자살교사·방조,발생건수 대비 검거건수[%],93.8,110,100,93.8,100
자살교사·방조,검거인원[명],30,18,35,27,9
자살교사·방조,남자검거인원[명],16,11,26,18,7
자살교사·방조,여자검거인원[명],13,7,9,9,2
자살교사·방조,불상검거인원[명],1,-,-,-,-
자살교사·방조,법인체[개],-,-,-,-,-
위계·위력·촉탁·승낙살인,발생건수[건],1,2,-,-,-
위계·위력·촉탁·승낙살인,검거건수[건],1,2,-,-,-
위계·위력·촉탁·승낙살인,발생건수 대비 검거건수[%],100,100,-,-,-
위계·위력·촉탁·승낙살인,검거인원[명],1,2,-,-,-
위계·위력·촉탁·승낙살인,남자검거인원[명],1,1,-,-,-
위계·위력·촉탁·승낙살인,여자검거인원[명],-,1,-,-,-
위계·위력·촉탁·승낙살인,불상검거인원[명],-,-,-,-,-
위계·위력·촉탁·승낙살인,법인체[개],-,-,-,-,-
강도,발생건수[건],821,798,663,495,516
강도,검거건수[건],821,801,658,487,507
강도,발생건수 대비 검거건수[%],100,100.4,99.2,98.4,98.3
강도,검거인원[명],1219,1376,1258,766,788
강도,남자검거인원[명],1061,1197,1047,654,688
강도,여자검거인원[명],132,165,177,100,92
강도,불상검거인원[명],26,14,34,12,8
강도,법인체[개],-,-,3,-,-
강도,발생건수[건],155,127,110,86,79
강도,검거건수[건],157,129,108,86,76
강도,발생건수 대비 검거건수[%],101.3,101.6,98.2,100,96.2
강도,검거인원[명],148,135,106,83,72
강도,남자검거인원[명],133,117,91,71,62
강도,여자검거인원[명],13,17,15,11,7
강도,불상검거인원[명],2,1,-,1,3
강도,법인체[개],-,-,2,-,-
준강도,발생건수[건],100,75,77,61,71
준강도,검거건수[건],98,77,77,60,70
준강도,발생건수 대비 검거건수[%],98,102.7,100,98.4,98.6
준강도,검거인원[명],97,80,85,65,67
준강도,남자검거인원[명],90,71,70,52,58
준강도,여자검거인원[명],7,9,15,13,9
준강도,불상검거인원[명],-,-,-,-,-
준강도,법인체[개],-,-,-,-,-
특수강도,발생건수[건],262,316,234,169,174
특수강도,검거건수[건],260,312,233,164,171
특수강도,발생건수 대비 검거건수[%],99.2,98.7,99.6,97,98.3
특수강도,검거인원[명],479,548,527,293,325
특수강도,남자검거인원[명],398,482,431,244,291
특수강도,여자검거인원[명],64,58,71,43,29
특수강도,불상검거인원[명],17,8,25,6,5
특수강도,법인체[개],-,-,1,-,-
준특수강도,발생건수[건],1,5,2,2,5
준특수강도,검거건수[건],1,5,2,2,5
준특수강도,발생건수 대비 검거건수[%],100,100,100,100,100
준특수강도,검거인원[명],1,8,2,2,6
준특수강도,남자검거인원[명],1,7,2,2,6
준특수강도,여자검거인원[명],-,1,-,-,-
준특수강도,불상검거인원[명],-,-,-,-,-
준특수강도,법인체[개],-,-,-,-,-
강도상해·치상,발생건수[건],253,233,209,149,163
강도상해·치상,검거건수[건],254,235,211,146,161
강도상해·치상,발생건수 대비 검거건수[%],100.4,100.9,101,98,98.8
강도상해·치상,검거인원[명],426,558,487,289,287
강도상해·치상,남자검거인원[명],378,475,409,252,241
강도상해·치상,여자검거인원[명],43,79,73,32,46
강도상해·치상,불상검거인원[명],5,4,5,5,-
강도상해·치상,법인체[개],-,-,-,-,-
강도살인·치사,발생건수[건],19,22,19,16,14
강도살인·치사,검거건수[건],18,22,16,16,14
강도살인·치사,발생건수 대비 검거건수[%],94.7,100,84.2,100,100
강도살인·치사,검거인원[명],34,29,22,18,22
강도살인·치사,남자검거인원[명],30,28,21,17,21
강도살인·치사,여자검거인원[명],3,1,1,1,1
강도살인·치사,불상검거인원[명],1,-,-,-,-
강도살인·치사,법인체[개],-,-,-,-,-
해상강도(살인·치사·상해·치상),발생건수[건],-,-,-,-,-
해상강도(살인·치사·상해·치상),검거건수[건],-,-,-,-,-
해상강도(살인·치사·상해·치상),발생건수 대비 검거건수[%],-,-,-,-,-
해상강도(살인·치사·상해·치상),검거인원[명],-,-,-,1,-
해상강도(살인·치사·상해·치상),남자검거인원[명],-,-,-,1,-
해상강도(살인·치사·상해·치상),여자검거인원[명],-,-,-,-,-
해상강도(살인·치사·상해·치상),불상검거인원[명],-,-,-,-,-
해상강도(살인·치사·상해·치상),법인체[개],-,-,-,-,-
인질강도,발생건수[건],3,2,5,-,2
인질강도,검거건수[건],3,1,4,-,3
인질강도,발생건수 대비 검거건수[%],100,50,80,-,150
인질강도,검거인원[명],13,3,20,-,3
인질강도,남자검거인원[명],11,2,15,-,3
인질강도,여자검거인원[명],2,-,2,-,-
인질강도,불상검거인원[명],-,1,3,-,-
인질강도,법인체[개],-,-,-,-,-
강도강간,발생건수[건],24,10,5,8,5
강도강간,검거건수[건],26,11,5,9,4
강도강간,발생건수 대비 검거건수[%],108.3,110,100,112.5,80
강도강간,검거인원[명],18,10,6,11,4
강도강간,남자검거인원[명],17,10,5,11,4
강도강간,여자검거인원[명],-,-,-,-,-
강도강간,불상검거인원[명],1,-,1,-,-
강도강간,법인체[개],-,-,-,-,-
(특수·인질·해상)강도(상습),발생건수[건],-,-,-,-,-
(특수·인질·해상)강도(상습),검거건수[건],-,-,-,-,-
(특수·인질·해상)강도(상습),발생건수 대비 검거건수[%],-,-,-,-,-
(특수·인질·해상)강도(상습),검거인원[명],-,-,-,-,-
(특수·인질·해상)강도(상습),남자검거인원[명],-,-,-,-,-
(특수·인질·해상)강도(상습),여자검거인원[명],-,-,-,-,-
(특수·인질·해상)강도(상습),불상검거인원[명],-,-,-,-,-
(특수·인질·해상)강도(상습),법인체[개],-,-,-,-,-
특가법(강도),발생건수[건],4,7,2,2,3
특가법(강도),검거건수[건],4,7,2,2,3
특가법(강도),발생건수 대비 검거건수[%],100,100,100,100,100
특가법(강도),검거인원[명],3,4,2,2,2
특가법(강도),남자검거인원[명],3,4,2,2,2
특가법(강도),여자검거인원[명],-,-,-,-,-
특가법(강도),불상검거인원[명],-,-,-,-,-
특가법(강도),법인체[개],-,-,-,-,-
특가법(강도상해재범),발생건수[건],-,1,-,2,-
특가법(강도상해재범),검거건수[건],-,2,-,2,-
특가법(강도상해재범),발생건수 대비 검거건수[%],-,200,-,100,-
특가법(강도상해재범),검거인원[명],-,1,1,2,-
특가법(강도상해재범),남자검거인원[명],-,1,1,2,-
특가법(강도상해재범),여자검거인원[명],-,-,-,-,-
특가법(강도상해재범),불상검거인원[명],-,-,-,-,-
특가법(강도상해재범),법인체[개],-,-,-,-,-
강간,발생건수[건],5293,5310,5313,5263,5467
강간,검거건수[건],5206,5197,5183,4981,5151
강간,발생건수 대비 검거건수[%],98.4,97.9,97.6,94.6,94.2
강간,검거인원[명],6087,6230,6243,5695,5725
강간,남자검거인원[명],5923,6081,6090,5580,5594
강간,여자검거인원[명],94,96,104,78,72
강간,불상검거인원[명],70,53,49,37,59
강간,법인체[개],-,-,-,-,-
강간,발생건수[건],2214,2265,2316,2166,2191
강간,검거건수[건],2166,2215,2253,2032,2064
강간,발생건수 대비 검거건수[%],97.8,97.8,97.3,93.8,94.2
강간,검거인원[명],2362,2480,2520,2172,2163
강간,남자검거인원[명],2323,2432,2457,2131,2126
강간,여자검거인원[명],26,29,44,31,26
강간,불상검거인원[명],13,19,19,10,11
강간,법인체[개],-,-,-,-,-
강간(상습),발생건수[건],3,2,4,-,5
강간(상습),검거건수[건],3,2,4,-,5
강간(상습),발생건수 대비 검거건수[%],100,100,100,-,100
강간(상습),검거인원[명],3,1,4,-,5
강간(상습),남자검거인원[명],3,1,4,-,5
강간(상습),여자검거인원[명],-,-,-,-,-
강간(상습),불상검거인원[명],-,-,-,-,-
강간(상습),법인체[개],-,-,-,-,-
준강간,발생건수[건],1074,1160,1128,1048,1085
준강간,검거건수[건],1066,1135,1102,997,1028
준강간,발생건수 대비 검거건수[%],99.3,97.8,97.7,95.1,94.7
준강간,검거인원[명],1166,1295,1290,1099,1088
준강간,남자검거인원[명],1143,1276,1275,1089,1070
준강간,여자검거인원[명],11,9,9,7,12
준강간,불상검거인원[명],12,10,6,3,6
준강간,법인체[개],-,-,-,-,-
준강간(상습),발생건수[건],3,2,1,-,2
준강간(상습),검거건수[건],3,2,1,-,2
준강간(상습),발생건수 대비 검거건수[%],100,100,100,-,100
준강간(상습),검거인원[명],3,2,1,-,2
준강간(상습),남자검거인원[명],3,2,1,-,2
준강간(상습),여자검거인원[명],-,-,-,-,-
준강간(상습),불상검거인원[명],-,-,-,-,-
준강간(상습),법인체[개],-,-,-,-,-
강간상해·치상,발생건수[건],330,328,274,283,243
강간상해·치상,검거건수[건],330,326,265,274,240
강간상해·치상,발생건수 대비 검거건수[%],100,99.4,96.7,96.8,98.8
강간상해·치상,검거인원[명],349,345,304,295,244
강간상해·치상,남자검거인원[명],345,338,296,290,244
강간상해·치상,여자검거인원[명],3,5,7,3,-
강간상해·치상,불상검거인원[명],1,2,1,2,-
강간상해·치상,법인체[개],-,-,-,-,-
강간살인·치사,발생건수[건],3,-,2,1,2
강간살인·치사,검거건수[건],4,-,2,1,2
강간살인·치사,발생건수 대비 검거건수[%],133.3,-,100,100,100
강간살인·치사,검거인원[명],5,-,2,1,2
강간살인·치사,남자검거인원[명],5,-,2,1,2
강간살인·치사,여자검거인원[명],-,-,-,-,-
강간살인·치사,불상검거인원[명],-,-,-,-,-
강간살인·치사,법인체[개],-,-,-,-,-
미성년자간음(심신미약자),발생건수[건],16,6,24,36,63
미성년자간음(심신미약자),검거건수[건],16,6,23,33,57
미성년자간음(심신미약자),발생건수 대비 검거건수[%],100,100,95.8,91.7,90.5
미성년자간음(심신미약자),검거인원[명],24,6,29,49,70
미성년자간음(심신미약자),남자검거인원[명],23,6,29,46,66
미성년자간음(심신미약자),여자검거인원[명],1,-,-,2,3
미성년자간음(심신미약자),불상검거인원[명],-,-,-,1,1
미성년자간음(심신미약자),법인체[개],-,-,-,-,-
업무상위력에의한간음,발생건수[건],30,27,32,24,18
업무상위력에의한간음,검거건수[건],29,26,32,23,17
업무상위력에의한간음,발생건수 대비 검거건수[%],96.7,96.3,100,95.8,94.4
업무상위력에의한간음,검거인원[명],35,38,37,30,19
업무상위력에의한간음,남자검거인원[명],33,37,36,29,19
업무상위력에의한간음,여자검거인원[명],2,1,1,1,-
업무상위력에의한간음,불상검거인원[명],-,-,-,-,-
업무상위력에의한간음,법인체[개],-,-,-,-,-
친족관계에의한강간,발생건수[건],160,116,118,143,110
친족관계에의한강간,검거건수[건],161,110,110,138,107
친족관계에의한강간,발생건수 대비 검거건수[%],100.6,94.8,93.2,96.5,97.3
친족관계에의한강간,검거인원[명],159,122,123,144,114
친족관계에의한강간,남자검거인원[명],158,117,122,143,106
친족관계에의한강간,여자검거인원[명],1,5,1,1,2
친족관계에의한강간,불상검거인원[명],-,-,-,-,6
친족관계에의한강간,법인체[개],-,-,-,-,-
장애인에대한강간·간음,발생건수[건],387,350,368,309,330
장애인에대한강간·간음,검거건수[건],371,338,359,283,293
장애인에대한강간·간음,발생건수 대비 검거건수[%],95.9,96.6,97.6,91.6,88.8
장애인에대한강간·간음,검거인원[명],475,410,448,332,370
장애인에대한강간·간음,남자검거인원[명],439,401,434,323,356
장애인에대한강간·간음,여자검거인원[명],8,3,3,6,5
장애인에대한강간·간음,불상검거인원[명],28,6,11,3,9
장애인에대한강간·간음,법인체[개],-,-,-,-,-
청소년에대한강간·간음,발생건수[건],617,598,555,492,461
청소년에대한강간·간음,검거건수[건],611,589,547,469,442
청소년에대한강간·간음,발생건수 대비 검거건수[%],99,98.5,98.6,95.3,95.9
청소년에대한강간·간음,검거인원[명],768,735,729,524,483
청소년에대한강간·간음,남자검거인원[명],740,720,705,508,474
청소년에대한강간·간음,여자검거인원[명],20,12,20,14,7
청소년에대한강간·간음,불상검거인원[명],8,3,4,2,2
청소년에대한강간·간음,법인체[개],-,-,-,-,-
미성년자의제강간,발생건수[건],64,71,174,384,598
미성년자의제강간,검거건수[건],60,67,172,368,562
미성년자의제강간,발생건수 대비 검거건수[%],93.8,94.4,98.9,95.8,94
미성년자의제강간,검거인원[명],78,84,216,477,672
미성년자의제강간,남자검거인원[명],75,80,209,470,650
미성년자의제강간,여자검거인원[명],1,-,5,2,7
미성년자의제강간,불상검거인원[명],2,4,2,5,15
미성년자의제강간,법인체[개],-,-,-,-,-
13세미만미성년자강간·간음,발생건수[건],79,86,64,73,71
13세미만미성년자강간·간음,검거건수[건],76,86,62,70,65
13세미만미성년자강간·간음,발생건수 대비 검거건수[%],96.2,100,96.9,95.9,91.5
13세미만미성년자강간·간음,검거인원[명],90,101,70,80,68
13세미만미성년자강간·간음,남자검거인원[명],86,100,65,77,65
13세미만미성년자강간·간음,여자검거인원[명],2,1,5,1,2
13세미만미성년자강간·간음,불상검거인원[명],2,-,-,2,1
13세미만미성년자강간·간음,법인체[개],-,-,-,-,-
특수강간(준),발생건수[건],204,207,162,166,171
특수강간(준),검거건수[건],202,204,163,159,157
특수강간(준),발생건수 대비 검거건수[%],99,98.6,100.6,95.8,91.8
특수강간(준),검거인원[명],453,511,364,342,292
특수강간(준),남자검거인원[명],436,472,352,328,283
특수강간(준),여자검거인원[명],16,31,8,8,7
특수강간(준),불상검거인원[명],1,8,4,6,2
특수강간(준),법인체[개],-,-,-,-,-
주거침입강간,발생건수[건],91,75,81,95,70
주거침입강간,검거건수[건],91,75,78,92,71
주거침입강간,발생건수 대비 검거건수[%],100,100,96.3,96.8,101.4
주거침입강간,검거인원[명],100,85,91,101,75
주거침입강간,남자검거인원[명],95,84,89,97,75
주거침입강간,여자검거인원[명],3,-,-,2,-
주거침입강간,불상검거인원[명],2,1,2,2,-
주거침입강간,법인체[개],-,-,-,-,-
절도강간,발생건수[건],-,-,-,1,1
절도강간,검거건수[건],-,-,-,1,1
절도강간,발생건수 대비 검거건수[%],-,-,-,100,100
절도강간,검거인원[명],-,-,1,1,1
절도강간,남자검거인원[명],-,-,1,1,1
절도강간,여자검거인원[명],-,-,-,-,-
절도강간,불상검거인원[명],-,-,-,-,-
절도강간,법인체[개],-,-,-,-,-
특수강도강간,발생건수[건],18,17,10,12,7
특수강도강간,검거건수[건],17,16,10,12,7
특수강도강간,발생건수 대비 검거건수[%],94.4,94.1,100,100,100
특수강도강간,검거인원[명],17,15,14,12,7
특수강도강간,남자검거인원[명],16,15,13,12,7
특수강도강간,여자검거인원[명],-,-,1,-,-
특수강도강간,불상검거인원[명],1,-,-,-,-
특수강도강간,법인체[개],-,-,-,-,-
아동학대처벌법위반(상습강간·간음),발생건수[건],-,-,-,-,-
아동학대처벌법위반(상습강간·간음),검거건수[건],-,-,-,-,-
아동학대처벌법위반(상습강간·간음),발생건수 대비 검거건수[%],-,-,-,-,-
아동학대처벌법위반(상습강간·간음),검거인원[명],-,-,-,-,-
아동학대처벌법위반(상습강간·간음),남자검거인원[명],-,-,-,-,-
아동학대처벌법위반(상습강간·간음),여자검거인원[명],-,-,-,-,-
아동학대처벌법위반(상습강간·간음),불상검거인원[명],-,-,-,-,-
아동학대처벌법위반(상습강간·간음),법인체[개],-,-,-,-,-
16세미만아동·청소년간음,발생건수[건],,,,30,39
16세미만아동·청소년간음,검거건수[건],,,,29,31
16세미만아동·청소년간음,발생건수 대비 검거건수[%],,,,96.7,79.5
16세미만아동·청소년간음,검거인원[명],,,,36,50
16세미만아동·청소년간음,남자검거인원[명],,,,35,43
16세미만아동·청소년간음,여자검거인원[명],,,,-,1
16세미만아동·청소년간음,불상검거인원[명],,,,1,6
16세미만아동·청소년간음,법인체[개],,,,-,-
유사강간,발생건수[건],776,782,823,814,947
유사강간,검거건수[건],758,768,796,783,894
유사강간,발생건수 대비 검거건수[%],97.7,98.2,96.7,96.2,94.4
유사강간,검거인원[명],861,908,959,843,923
유사강간,남자검거인원[명],832,875,902,818,894
유사강간,여자검거인원[명],21,25,43,22,26
유사강간,불상검거인원[명],8,8,14,3,3
유사강간,법인체[개],-,-,-,-,-
유사강간,발생건수[건],377,376,407,396,470
유사강간,검거건수[건],369,374,385,380,423
유사강간,발생건수 대비 검거건수[%],97.9,99.5,94.6,96,90
유사강간,검거인원[명],404,421,457,411,439
유사강간,남자검거인원[명],391,400,424,398,421
유사강간,여자검거인원[명],11,17,23,11,16
유사강간,불상검거인원[명],2,4,10,2,2
유사강간,법인체[개],-,-,-,-,-
유사강간(상습),발생건수[건],-,-,-,-,-
유사강간(상습),검거건수[건],-,-,-,-,-
유사강간(상습),발생건수 대비 검거건수[%],-,-,-,-,-
유사강간(상습),검거인원[명],-,-,-,-,-
유사강간(상습),남자검거인원[명],-,-,-,-,-
유사강간(상습),여자검거인원[명],-,-,-,-,-
유사강간(상습),불상검거인원[명],-,-,-,-,-
유사강간(상습),법인체[개],-,-,-,-,-
준유사강간,발생건수[건],123,136,138,164,196
준유사강간,검거건수[건],122,134,136,156,196
준유사강간,발생건수 대비 검거건수[%],99.2,98.5,98.6,95.1,100
준유사강간,검거인원[명],139,157,160,163,200
준유사강간,남자검거인원[명],135,155,156,159,197
준유사강간,여자검거인원[명],1,2,3,4,3
준유사강간,불상검거인원[명],3,-,1,-,-
준유사강간,법인체[개],-,-,-,-,-
준유사강간(상습),발생건수[건],-,-,-,1,-
준유사강간(상습),검거건수[건],-,-,-,1,-
준유사강간(상습),발생건수 대비 검거건수[%],-,-,-,100,-
준유사강간(상습),검거인원[명],-,1,-,1,-
준유사강간(상습),남자검거인원[명],-,1,-,1,-
준유사강간(상습),여자검거인원[명],-,-,-,-,-
준유사강간(상습),불상검거인원[명],-,-,-,-,-
준유사강간(상습),법인체[개],-,-,-,-,-
유사강간상해·치상,발생건수[건],36,17,40,14,31
유사강간상해·치상,검거건수[건],35,15,41,14,29
유사강간상해·치상,발생건수 대비 검거건수[%],97.2,88.2,102.5,100,93.5
유사강간상해·치상,검거인원[명],36,19,45,16,31
유사강간상해·치상,남자검거인원[명],35,19,43,15,28
유사강간상해·치상,여자검거인원[명],1,-,2,1,3
유사강간상해·치상,불상검거인원[명],-,-,-,-,-
유사강간상해·치상,법인체[개],-,-,-,-,-
유사강간살인·치사,발생건수[건],-,-,-,-,-
유사강간살인·치사,검거건수[건],-,-,-,-,-
유사강간살인·치사,발생건수 대비 검거건수[%],-,-,-,-,-
유사강간살인·치사,검거인원[명],-,-,-,-,-
유사강간살인·치사,남자검거인원[명],-,-,-,-,-
유사강간살인·치사,여자검거인원[명],-,-,-,-,-
유사강간살인·치사,불상검거인원[명],-,-,-,-,-
유사강간살인·치사,법인체[개],-,-,-,-,-
미성년자의제유사강간,발생건수[건],7,6,18,15,37
미성년자의제유사강간,검거건수[건],7,5,17,16,34
미성년자의제유사강간,발생건수 대비 검거건수[%],100,83.3,94.4,106.7,91.9
미성년자의제유사강간,검거인원[명],10,10,23,19,40
미성년자의제유사강간,남자검거인원[명],10,9,20,18,40
미성년자의제유사강간,여자검거인원[명],-,1,2,1,-
미성년자의제유사강간,불상검거인원[명],-,-,1,-,-
미성년자의제유사강간,법인체[개],-,-,-,-,-
유사성행위,발생건수[건],207,232,204,208,203
유사성행위,검거건수[건],199,225,202,200,204
유사성행위,발생건수 대비 검거건수[%],96.1,97,99,96.2,100.5
유사성행위,검거인원[명],241,282,258,217,204
유사성행위,남자검거인원[명],232,273,244,211,200
유사성행위,여자검거인원[명],7,5,13,5,4
유사성행위,불상검거인원[명],2,4,1,1,-
유사성행위,법인체[개],-,-,-,-,-
주거침입유사강간,발생건수[건],22,14,13,16,9
주거침입유사강간,검거건수[건],22,14,12,16,7
주거침입유사강간,발생건수 대비 검거건수[%],100,100,92.3,100,77.8
주거침입유사강간,검거인원[명],24,15,13,16,8
주거침입유사강간,남자검거인원[명],23,15,12,16,7
주거침입유사강간,여자검거인원[명],1,-,-,-,-
주거침입유사강간,불상검거인원[명],-,-,1,-,1
주거침입유사강간,법인체[개],-,-,-,-,-
절도유사강간,발생건수[건],1,-,-,,-
절도유사강간,검거건수[건],1,-,-,,-
절도유사강간,발생건수 대비 검거건수[%],100,-,-,,-
절도유사강간,검거인원[명],1,-,-,,-
절도유사강간,남자검거인원[명],1,-,-,,-
절도유사강간,여자검거인원[명],-,-,-,-,-
절도유사강간,불상검거인원[명],-,-,-,-,-
절도유사강간,법인체[개],-,-,-,-,-
특수강도유사강간,발생건수[건],3,1,3,-,1
특수강도유사강간,검거건수[건],3,1,3,-,1
특수강도유사강간,발생건수 대비 검거건수[%],100,100,100,-,100
특수강도유사강간,검거인원[명],6,3,3,-,1
특수강도유사강간,남자검거인원[명],5,3,3,-,1
특수강도유사강간,여자검거인원[명],-,-,-,-,-
특수강도유사강간,불상검거인원[명],1,-,-,-,-
특수강도유사강간,법인체[개],-,-,-,-,-
아동학대처벌법위반(상습유사강간),발생건수[건],-,-,-,-,-
